facility_id,flavor,state,mid,packaged,opened
1,vanilla,stock,87231232,2016-05-25,
1,vanilla,stock,87231239,2016-05-25,
1,vanilla,In-use,87231288,2016-05-25,2016-08-05
1,vanilla,ordered,,,
1,vanilla,In-transit,9012343,2016-08-26,
1,chocolate,In-use,87418768,2016-06-28,2016-08-05
1,chocolate,stock,87418771,2016-06-28,
1,chocolate,stock,87418773,2016-06-28,
1,chocolate,stock,87418775,2016-06-28,
1,chocolate,stock,87418776,2016-06-28,
1,chocolate,ordered,,,
1,strawberry,In-use,87419000,2016-04-13,2016-08-16
1,strawberry,stock,87419001,2016-04-13,
1,strawberry,stock,87419002,2016-04-13,
1,strawberry,ordered,,,
1,strawberry,In-transit,87419003,2016-04-13,
2,vanilla,In-use,87231269,2016-05-25,2016-08-05
2,vanilla,In-use,87231268,2016-05-25,2016-08-16
2,vanilla,stock,87231267,2016-05-25,
2,vanilla,In-transit,87231270,2016-08-16,
2,chocolate,In-use,87418778,2016-06-28,2016-08-05
2,chocolate,In-use,87418783,2016-06-28,2016-08-16
2,chocolate,stock,87418779,2016-06-28,
2,chocolate,stock,87418780,2016-06-28,
2,chocolate,stock,87418781,2016-06-28,
2,chocolate,stock,87418781,2016-06-28,
2,strawberry,In-use,87419006,2016-04-13,2016-08-05
2,strawberry,In-use,87419007,2016-04-13,2016-08-16
2,strawberry,stock,87419008,2016-04-13,
2,strawberry,stock,87419009,2016-04-13,
2,strawberry,ordered,,,
3,vanilla,In-use,87419023,2016-05-25,2016-08-02
3,vanilla,In-transit,87419024,2016-08-16,
3,chocolate,In-use,87418792,2016-06-28,2016-08-09
3,chocolate,In-use,87418793,2016-06-28,2016-08-08
3,chocolate,stock,87418794,2016-06-28,
3,chocolate,stock,87418795,2016-06-28,
3,chocolate,stock,87418796,2016-06-28,
3,strawberry,In-use,87419012,2016-04-13,2016-08-04
3,strawberry,stock,87419013,2016-04-13,
3,strawberry,stock,87419014,2016-04-13,
3,strawberry,In-transit,87419015,2016-04-13,
