facility_id,flavor,state,mid,packaged
1,vanilla,stock,87231232,2016-05-25
1,vanilla,stock,87231233,2016-05-25
1,vanilla,stock,87231234,2016-05-25
1,vanilla,stock,87231235,2016-05-25
1,vanilla,stock,87231236,2016-05-25
1,vanilla,stock,87231237,2016-05-25
1,vanilla,stock,87231238,2016-05-25
1,vanilla,stock,87231239,2016-05-25
1,vanilla,In-use,87231290,2016-05-25
1,vanilla,In-use,87231291,2016-05-25
1,vanilla,In-use,87231292,2016-05-25
1,vanilla,In-transit,87231293,2016-05-25
1,vanilla,In-transit,87231294,2016-05-25
1,vanilla,ordered,,
1,vanilla,ordered,,
1,vanilla,ordered,,
1,vanilla,ordered,,
1,vanilla,ordered,,
